"Номер счёта","Тип операции","Дата проведения","Номер документа","Валюта операции","Сумма в валюте счёта","Валюта счёта","Описание операции","Назначение платежа","Счет плательщика","ИНН плательщика","КПП плательщика","Наименование плательщика","БИК банка плательщика","Корр. счет плательщика","Счет получателя","Договор получателя","ИНН получателя","КПП получателя","Наименование получателя","БИК банка получателя","Корр. счет получателя","Счет контрагента","ИНН контрагента","Наименование контрагента","БИК банка контрагента","Дебет","Кредит"
"DEMO-ACCOUNT-0001","Кредит","11.08.2026","DOC-100011","643","1000000","643","Получение кредита","Получение учебного займа DEMO-LOAN-2026","DEMO-COUNTER-ACC-11","DEMO-INN-11","DEMO-KPP-11","Банк 1","DEMO-BIK-11","DEMO-CORR-11","DEMO-ACCOUNT-0001","DEMO-LOAN-2026","DEMO-INN-ATLAS","DEMO-KPP-ATLAS","ООО «Атлас»","DEMO-BIK-ATLAS","DEMO-CORR-ATLAS","DEMO-COUNTER-ACC-11","DEMO-INN-11","Банк 1","DEMO-BIK-11","0","1000000"
"DEMO-ACCOUNT-0001","Дебет","12.08.2026","DOC-100012","643","200000","643","Погашение основного долга","Погашение основной суммы учебного займа","DEMO-ACCOUNT-0001","DEMO-INN-ATLAS","DEMO-KPP-ATLAS","ООО «Атлас»","DEMO-BIK-ATLAS","DEMO-CORR-ATLAS","DEMO-COUNTER-ACC-12","DEMO-LOAN-2026","DEMO-INN-12","DEMO-KPP-12","Банк 1","DEMO-BIK-12","DEMO-CORR-12","DEMO-COUNTER-ACC-12","DEMO-INN-12","Банк 1","DEMO-BIK-12","200000","0"
"DEMO-ACCOUNT-0001","Дебет","13.08.2026","DOC-100013","643","35000","643","Проценты по кредиту","Уплата процентов по учебному займу","DEMO-ACCOUNT-0001","DEMO-INN-ATLAS","DEMO-KPP-ATLAS","ООО «Атлас»","DEMO-BIK-ATLAS","DEMO-CORR-ATLAS","DEMO-COUNTER-ACC-13","DEMO-LOAN-2026","DEMO-INN-13","DEMO-KPP-13","Банк 1","DEMO-BIK-13","DEMO-CORR-13","DEMO-COUNTER-ACC-13","DEMO-INN-13","Банк 1","DEMO-BIK-13","35000","0"
"DEMO-ACCOUNT-0001","Дебет","14.08.2026","DOC-100014","643","12345","643","Платёж без классификации","Назначение недостаточно для определения экономического смысла","DEMO-ACCOUNT-0001","DEMO-INN-ATLAS","DEMO-KPP-ATLAS","ООО «Атлас»","DEMO-BIK-ATLAS","DEMO-CORR-ATLAS","DEMO-COUNTER-ACC-14","DEMO-2026","DEMO-INN-14","DEMO-KPP-14","ООО «Неопределённый контрагент»","DEMO-BIK-14","DEMO-CORR-14","DEMO-COUNTER-ACC-14","DEMO-INN-14","ООО «Неопределённый контрагент»","DEMO-BIK-14","12345","0"
"DEMO-ACCOUNT-0001","Дебет","18.08.2026","DOC-100015","643","40000","643","Связь и интернет","Услуги связи и интернета за август","DEMO-ACCOUNT-0001","DEMO-INN-ATLAS","DEMO-KPP-ATLAS","ООО «Атлас»","DEMO-BIK-ATLAS","DEMO-CORR-ATLAS","DEMO-COUNTER-ACC-15","DEMO-2026","DEMO-INN-15","DEMO-KPP-15","ООО «Учебная связь»","DEMO-BIK-15","DEMO-CORR-15","DEMO-COUNTER-ACC-15","DEMO-INN-15","ООО «Учебная связь»","DEMO-BIK-15","40000","0"
"DEMO-ACCOUNT-0001","Дебет","18.08.2026","DOC-100016","643","40000","643","Обучение","Обучение сотрудников по учебной программе","DEMO-ACCOUNT-0001","DEMO-INN-ATLAS","DEMO-KPP-ATLAS","ООО «Атлас»","DEMO-BIK-ATLAS","DEMO-CORR-ATLAS","DEMO-COUNTER-ACC-16","DEMO-2026","DEMO-INN-16","DEMO-KPP-16","ООО «Учебный центр»","DEMO-BIK-16","DEMO-CORR-16","DEMO-COUNTER-ACC-16","DEMO-INN-16","ООО «Учебный центр»","DEMO-BIK-16","40000","0"
"DEMO-ACCOUNT-0001","Дебет","20.08.2026","DOC-100017","643","75000","643","Маркетинг","Продвижение учебного проекта Вектор","DEMO-ACCOUNT-0001","DEMO-INN-ATLAS","DEMO-KPP-ATLAS","ООО «Атлас»","DEMO-BIK-ATLAS","DEMO-CORR-ATLAS","DEMO-COUNTER-ACC-17","DEMO-2026","DEMO-INN-17","DEMO-KPP-17","ООО «Учебное агентство»","DEMO-BIK-17","DEMO-CORR-17","DEMO-COUNTER-ACC-17","DEMO-INN-17","ООО «Учебное агентство»","DEMO-BIK-17","75000","0"
"DEMO-ACCOUNT-0001","Кредит","21.08.2026","DOC-100018","643","25000","643","Возврат от поставщика","Возврат части учебного аванса","DEMO-COUNTER-ACC-18","DEMO-INN-18","DEMO-KPP-18","ООО «Учебный поставщик»","DEMO-BIK-18","DEMO-CORR-18","DEMO-ACCOUNT-0001","DEMO-2026","DEMO-INN-ATLAS","DEMO-KPP-ATLAS","ООО «Атлас»","DEMO-BIK-ATLAS","DEMO-CORR-ATLAS","DEMO-COUNTER-ACC-18","DEMO-INN-18","ООО «Учебный поставщик»","DEMO-BIK-18","0","25000"
"DEMO-ACCOUNT-0001","Кредит","22.08.2026","DOC-100019","643","500000","643","Аванс клиента","Учебный аванс клиента по проекту Орион","DEMO-COUNTER-ACC-19","DEMO-INN-19","DEMO-KPP-19","ООО «Клиент Орион 2»","DEMO-BIK-19","DEMO-CORR-19","DEMO-ACCOUNT-0001","DEMO-2026","DEMO-INN-ATLAS","DEMO-KPP-ATLAS","ООО «Атлас»","DEMO-BIK-ATLAS","DEMO-CORR-ATLAS","DEMO-COUNTER-ACC-19","DEMO-INN-19","ООО «Клиент Орион 2»","DEMO-BIK-19","0","500000"
"DEMO-ACCOUNT-0001","Дебет","23.08.2026","DOC-100020","643","60000","643","Коммунальные услуги","Коммунальные услуги за август","DEMO-ACCOUNT-0001","DEMO-INN-ATLAS","DEMO-KPP-ATLAS","ООО «Атлас»","DEMO-BIK-ATLAS","DEMO-CORR-ATLAS","DEMO-COUNTER-ACC-20","DEMO-2026","DEMO-INN-20","DEMO-KPP-20","ООО «Учебные коммунальные услуги»","DEMO-BIK-20","DEMO-CORR-20","DEMO-COUNTER-ACC-20","DEMO-INN-20","ООО «Учебные коммунальные услуги»","DEMO-BIK-20","60000","0"
"DEMO-ACCOUNT-0001","Дебет","03.08.2026","DOC-100003","643","2500","643","Банковская комиссия","Комиссия банка за расчётное обслуживание по учебному тарифу","DEMO-ACCOUNT-0001","DEMO-INN-ATLAS","DEMO-KPP-ATLAS","ООО «Атлас»","DEMO-BIK-ATLAS","DEMO-CORR-ATLAS","DEMO-COUNTER-ACC-03","DEMO-2026","DEMO-INN-03","DEMO-KPP-03","Банк 1","DEMO-BIK-03","DEMO-CORR-03","DEMO-COUNTER-ACC-03","DEMO-INN-03","Банк 1","DEMO-BIK-03","2500","0"
