ID операции,Дата операции,Дата начисления,Тип записи,Тип операции,Поступление,Списание,Сумма ДДС,Сумма учета,Валюта,Счёт денежных средств,Статья операции,ДДС: раздел,ДДС: строка,ОПиУ: строка,Проект,ЦФО,Контрагент,ИНН,Назначение,НДС,Дт,Кт,Тип источника,ID источника,ID документа источника,Номер документа,Дата импорта,Статус автоматики,Требует уточнения,Комментарий,Балансовая статья
54D98DB759B783188FB2C375,07.08.2026,07.08.2026,Денежная операция,Списание,0,67000.00,-67000.00,67000.00,RUB,Дополнительный счёт,Налоги/взыскания,Операционная деятельность,Прочие налоги и сборы,"Прочие налоги, сборы, штрафы",Общий,ЦФО «Атлас»,УФК по Новосибирской области,5406999106,Налоговый платеж,0%,Налоги и взыскания,Дополнительный счёт,ALFA_XLSX,ALFA-9F1125AAC7,ALFA-9F1125AAC7-R000015,АБ-0803,14.09.2026 13:27,Готово,Нет,,Налоги и взыскания
38FF0BE2167BAEBF893CAC31,10.08.2026,10.08.2026,Денежная операция,Списание,0,48000.00,-48000.00,48000.00,RUB,Дополнительный счёт,Маркетинг,Операционная деятельность,Маркетинг и реклама,Реклама в интернете,Вектор,ЦФО «Атлас»,ООО «Маяк Медиа»,5406999107,Продвижение проекта Вектор,0%,Маркетинг,Дополнительный счёт,ALFA_XLSX,ALFA-9F1125AAC7,ALFA-9F1125AAC7-R000016,АБ-0804,14.09.2026 13:27,Готово,Нет,,Маркетинг
E34B6D8DAF431479F270403B,13.08.2026,13.08.2026,Денежная операция,Списание,0,18500.00,-18500.00,18500.00,RUB,Дополнительный счёт,Связь и интернет,Операционная деятельность,Связь и интернет,Расходы на интернет,Общий,ЦФО «Атлас»,ООО «Линия Связи»,5406999108,Услуги связи и интернета,0%,Операционные расходы,Дополнительный счёт,ALFA_XLSX,ALFA-9F1125AAC7,ALFA-9F1125AAC7-R000017,АБ-0805,14.09.2026 13:27,Готово,Нет,,Операционные расходы
9E2A392C3490B5A882574535,18.08.2026,18.08.2026,Денежная операция,Списание,0,36000.00,-36000.00,36000.00,RUB,Дополнительный счёт,Обучение,Операционная деятельность,Прочие операционные расходы,Расходы на обучение,Общий,ЦФО «Атлас»,АНО ДПО «Практика»,5406999109,Обучение сотрудников,0%,Операционные расходы,Дополнительный счёт,ALFA_XLSX,ALFA-9F1125AAC7,ALFA-9F1125AAC7-R000018,АБ-0806,14.09.2026 13:27,Готово,Нет,,Операционные расходы
C8B05FC15816B508B72A2383,22.08.2026,22.08.2026,Денежная операция,Списание,0,27500.00,-27500.00,27500.00,RUB,Дополнительный счёт,Коммунальные услуги,Операционная деятельность,Коммунальные услуги,Электричество,Общий,ЦФО «Атлас»,ООО «Городские сети»,5406999110,Коммунальные услуги,0%,Операционные расходы,Дополнительный счёт,ALFA_XLSX,ALFA-9F1125AAC7,ALFA-9F1125AAC7-R000019,АБ-0807,14.09.2026 13:27,Готово,Нет,,Операционные расходы
CF61C1542FCC0C98598F043B,29.08.2026,29.08.2026,Денежная операция,Поступление,25000.00,0,25000.00,25000.00,RUB,Дополнительный счёт,Возврат от поставщика,Операционная деятельность,Возвраты от поставщиков,,Общий,ЦФО «Атлас»,ООО «Комплект Плюс»,5406999111,Возврат аванса поставщиком,0%,Дополнительный счёт,Авансы выданные,ALFA_XLSX,ALFA-9F1125AAC7,ALFA-9F1125AAC7-R000020,АБ-0808,14.09.2026 13:27,Готово,Нет,,Авансы выданные
7E8D814F76DC73CE55EA97E8,01.08.2026,01.08.2026,Денежная операция,Поступление,510000.00,0,510000.00,510000.00,RUB,Резервный счёт,Оплата от покупателя,Операционная деятельность,Поступления от покупателей,Выручка по договорам подряда,Вектор,ЦФО «Атлас»,ООО «Вектор Строй»,5406999102,Оплата услуг по договору за проект Вектор,0%,Резервный счёт,Выручка,SBER_XLSX,SBER-EB91C15A3E,SBER-EB91C15A3E-R000012,СБ-0801,14.09.2026 13:27,Готово,Нет,,Выручка
87481DE8A4DED63359F86D22,09.08.2026,09.08.2026,Денежная операция,Поступление,640000.00,0,640000.00,640000.00,RUB,Резервный счёт,Оплата от покупателя,Операционная деятельность,Поступления от покупателей,Выручка по договорам подряда,Орион,ЦФО «Атлас»,ООО «Орион Партнёр»,5406999103,Оплата услуг по договору за проект Орион,0%,Резервный счёт,Выручка,SBER_XLSX,SBER-EB91C15A3E,SBER-EB91C15A3E-R000013,СБ-0802,14.09.2026 13:27,Готово,Нет,,Выручка
E9A4705AFDFF4250E451B8C6,11.08.2026,11.08.2026,Денежная операция,Списание,0,120000.00,-120000.00,120000.00,RUB,Резервный счёт,Погашение кредита/займа,Финансовая деятельность,Погашение кредитов и займов,,Общий,ЦФО «Атлас»,АО «Капитал Банк»,5406999112,Погашение основной суммы кредита,0%,Займы,Резервный счёт,SBER_XLSX,SBER-EB91C15A3E,SBER-EB91C15A3E-R000014,СБ-0803,14.09.2026 13:27,Готово,Нет,,Займы
E551AD100DC4CF823F5A7746,14.08.2026,14.08.2026,Денежная операция,Списание,0,22000.00,-22000.00,22000.00,RUB,Резервный счёт,Проценты уплаченные,Финансовая деятельность,Проценты уплаченные,Проценты по кредитам,Общий,ЦФО «Атлас»,АО «Капитал Банк»,5406999112,Проценты по кредиту за август,0%,Операционные расходы,Резервный счёт,SBER_XLSX,SBER-EB91C15A3E,SBER-EB91C15A3E-R000015,СБ-0804,14.09.2026 13:27,Готово,Нет,,Операционные расходы
65C8D7470D768F31B825898C,17.08.2026,17.08.2026,Денежная операция,Списание,0,3100.00,-3100.00,3100.00,RUB,Резервный счёт,Банковское обслуживание,Операционная деятельность,Банковское обслуживание,Расчетно-кассовое обслуживание,Общий,ЦФО «Атлас»,ООО «Северный мост»,5406999101,Комиссия банка за расчетное обслуживание,0%,Операционные расходы,Резервный счёт,SBER_XLSX,SBER-EB91C15A3E,SBER-EB91C15A3E-R000016,СБ-0805,14.09.2026 13:27,Готово,Нет,,Операционные расходы
439910756E1D8529EFD23774,21.08.2026,21.08.2026,Денежная операция,Списание,0,125000.00,-125000.00,125000.00,RUB,Резервный счёт,Аренда,Операционная деятельность,Аренда помещений,Аренда офисов,Общий,ЦФО «Атлас»,ООО «Деловой квартал»,5406999104,Аренда офиса за август,0%,Операционные расходы,Резервный счёт,SBER_XLSX,SBER-EB91C15A3E,SBER-EB91C15A3E-R000017,СБ-0806,14.09.2026 13:27,Готово,Нет,,Операционные расходы
14473537DB0983A2BE923A92,25.08.2026,25.08.2026,Денежная операция,Списание,0,310000.00,-310000.00,310000.00,RUB,Резервный счёт,Зарплата,Операционная деятельность,Заработная плата,Окладные выплаты,Общий,ЦФО «Атлас»,Зарплатный реестр,5406999105,Заработная плата за август,0%,Фонд оплаты труда,Резервный счёт,SBER_XLSX,SBER-EB91C15A3E,SBER-EB91C15A3E-R000018,СБ-0807,14.09.2026 13:27,Готово,Нет,,Фонд оплаты труда
